Timestamp,Your name,Your age,Gender,Favorite sports team,What car do you drive?,Favorite music,Friend #1 name,How often do you see friend #1?,How did you meet friend #1?,Friend #2 name,How often do you see friend #2?,How did you meet friend #2?,Friend #3 name,How often do you see friend #3?,How did you meet friend #3?,Friend #4 name,How often do you see friend #4?,How did you meet friend #4?,Friend #5 name,How often do you see friend #5?,How did you meet friend #5?
8/23/2026 23:28:00,Ingrid Solberg,38 yrs,female,Cubs,Subaru,indie,Zoë Fischer,weekly,the club,,,,,,,,,,,,
8/24/2026 9:48:00,Rafael  Ortiz,48,man,Da Bears,Subaru,Jazz,zoë fischer,weekly ,club,Lena Vogt,once a week,Family,,,,,,,,,
8/24/2026 11:25:00,Owen Gallagher,57,Male,Da Bears,subaru outback,Jazz,Rafael Ortiz,every 2 weeks,the club,Desmond Achebe ,weekly ,neighborhood,Zoë Fischer,Monthly,Club,caleb marsh,every other week,book club,,,
8/24/2026 12:11:00,Jamal Reed,22 years,M,Cubs,,Pop,priya natarajan,few times/week,work,sofia marchetti,weekly,Work,Hank Dooley ,few times/week,at work,,,,,,
8/24/2026 13:34:00,Hank Dooley,45,M,white sox,Honda Civic,Hip-hop,Elizabeth  Chen,everyday,coworkers,Sofia Marchetti,few times/week,work,Gloria Pemberton,everyday,Neighborhood,Hank Dooley,weekly,work,,,
8/24/2026 21:36:00,Walter  Osei,67 years,m,Chicago Cubs,Toyota Corolla,Classical,Gordon Hale,1x month,Neighborhood,Yuki Sato ,monthly,book club,Beatrice Ng,every other week,book club,Anthony Russo,monthly,Neighborhood,,,
8/25/2026 0:05:00,maren lindqvist,44,woman,None,Outback,Indie rock,Caleb Marsh,once a week,the club,harriet boone,1x month,hiking club,Ingrid Solberg,Monthly,club,,,,,,
8/25/2026 4:17:00,Marcus Bell,24 yrs,m,n/a,No car,hiphop,Liz Chen,once a week,Family,,,,,,,,,,,,
8/25/2026 5:08:00,Lucas Ferreira,31 years,man,bears,Honda Civic,Country,Bea Lindgren,weekly,neighbors,kwame mensah,2x a month,hiking club,Nadia Petrov,weekly ,book club,,,,,,
8/25/2026 5:28:00,Ingrid Solberg,38,woman,Cubs,Outback,Indie rock,Zoë Fischer,Weekly,Club,Tobias Reinholt,every 2 weeks,neighbors,,,,,,,,,
8/25/2026 7:29:00,Tyler Brooks,25,male,bulls,civic,Pop,kevin park,3x a week,class,Mei Tanaka,3x a week,College,noor haddad,weekly,college,Chloe Adebayo,3x a week,College,Kevin Park,weekly,school
8/25/2026 9:47:00,Kwame Mensah,30,m,Chicago Fire,ford f150,pop,victor nakamura,Weekly,Club,Sam Okafor,3x a week,Family,Lucas Ferreira,weekly,soccer,nadia petrov,once a week,hiking club,,,
8/25/2026 14:55:00,Caleb Marsh,33 years,man,none,Ford F-150,Indie,Felix Baumann,2x a month,the club,Ingrid Solberg,once a week,soccer,Rafael Ortiz,weekly ,soccer,Owen  Gallagher,once a week,the club,,,
8/25/2026 21:21:00,Priya Natarajan,31,woman,None,honda civic,rap,Nadia Petrov,Weekly,Club,Kwame Mensah,every other week,soccer,Miriam Feldman,1x month,book club,Aisha Rahman,every other week,neighborhood,Elizabeth Chen,daily,at work
8/25/2026 21:36:00,Kevin Park,25,m,bulls,honda civic,Electronic,Diego Fuentes,3x a week,College,Chloe Adebayo,every 2 weeks,family,Tyler Brooks,once a week,class,,,,,,
8/25/2026 23:33:00,gordon hale,,male,,no car,classical,Felix Baumann ,1x month,neighbors,yuki sato,once a month,soccer,,,,,,,,,
8/26/2026 0:11:00,felix baumann,36,M,,Toyota Corolla,classical,caleb marsh,twice a month,club,Lena Vogt ,Monthly,the club,Patricia Lowe,Monthly,next door,anthony russo,Monthly,club,Miriam Feldman,every 2 weeks,Neighborhood
8/26/2026 2:15:00,Mei Tanaka ,23,f,,none,Hip Hop,Brianna Cole,weekly,school,Tyler Brooks ,couple times a week,class,Chloe Adebayo,a few times a week,College,Michael Torres ,a few times a week,college,,,
8/26/2026 2:37:00,Aisha  Rahman,23,f,bears,Tesla Model 3,Hip Hop,Priya Natarajan,2x a month,neighborhood,Mike Torres,once a week,college,Mei  Tanaka,every 2 weeks,school,Jordan  Vance,once a week,college,,,
8/26/2026 5:05:00,Gloria Pemberton,39,f,Sox,corolla,country music,Sofia Marchetti ,Every day,at work,Rowan Blake,couple times a week,Family,Andre Silva ,everyday,Work,,,,,,
8/26/2026 7:01:00,Rowan Blake,26,NB,white sox,,pop,Jordan Vance,Weekly,College,Kevin Park ,every 2 weeks,college,Elizabeth Chen,weekly,neighbors,marcus bell,3x a week,Work,,,
8/26/2026 7:37:00,Camila Reyes,25,F,fire,Ford F-150,pop,Lucas Ferreira,weekly ,Family,Sam Okafor,Weekly,book club,josé ramírez,weekly,the club,,,,,,
8/26/2026 8:01:00,Anthony Russo,52,Male,cubs,Subaru,classical,Renée Dubois,every other week,book club,Miriam Feldman,every other week,Club,,,,,,,,,
8/26/2026 10:17:00,Marcus Bell,24,man,none,none,rap,Liz Chen,Weekly,in-laws,Tessa Nguyen,Weekly,coworkers,Andre  Silva,Weekly,work,Sofia Marchetti,few times/week,work,,,
8/26/2026 10:43:00,Jordan Vance,24,NB,Chicago Bears,honda civic,EDM,rowan blake,Weekly,College,Aisha  Rahman,couple times a week,class,Mei Tanaka ,every 2 weeks,class,Kevin Park,weekly ,College,Tyler Brooks,every other week,college
8/26/2026 10:44:00,Renée Dubois,62,F,None,toyota Corolla,classical,Sam W,weekly,soccer,Walter Osei ,twice a month,Neighborhood,Miriam Feldman,2x a month,soccer,Anthony Russo,once a month,book club,,,
8/26/2026 12:28:00,patricia lowe,60,woman,bulls,toyota Corolla,Jazz,yuki sato,once a month,neighbors,Gordon Hale,every other week,the club,,,,,,,,,
8/26/2026 20:16:00,Bea  Lindgren,22,Female,Da Bears,ford f150,Pop,lucas ferreira,weekly,Neighborhood,Hannah Kowalski,twice a month,Club,Victor Nakamura,twice a month,soccer,,,,,,
8/26/2026 20:39:00,Chloe Adebayo,22,Female,,Tesla Model 3,Hip Hop,diego fuentes,3x a week,College,Kevin Park,weekly,College,,,,,,,,,
8/26/2026 21:44:00,Noor Haddad ,22,F,Bulls,Honda Civic,hiphop,Diego Fuentes,weekly,college,chloe adebayo,Weekly,College,Tyler Brooks,weekly ,College,Michael Torres ,weekly,College,,,
8/26/2026 23:28:00,Tobias Reinholt,51,M,None,Toyota corolla,Country,Harriet Boone,once a month,soccer,Rafael  Ortiz,weekly ,Club,,,,,,,,,
8/27/2026 1:21:00,andre silva,29,man,cubs,honda civic,Pop,Gloria Pemberton,daily,at work,Priya Natarajan,once a week,work,,,,,,,,,
8/27/2026 1:28:00,yuki sato,41 yrs,F,bulls,none,Classical,Patricia Lowe,twice a month,Club,,,,,,,,,,,,
8/27/2026 5:45:00,Miriam Feldman,55 years,F,Chicago Cubs,no car,Jazz,priya natarajan,monthly,Club,Felix Baumann,twice a month,book club,Patricia Lowe,Weekly,Family,,,,,,
8/27/2026 12:18:00,Sofia Marchetti,36,woman,Chicago Cubs,honda civic,hip-hop,Priya Natarajen,once a week,Work,andre silva,everyday,Work,gloria pemberton,every day,work,,,,,,
