participant_id,first_name,last_name,primary_group
P01,Maren,Lindqvist,Hiking club
P02,Tobias,Reinholt,Hiking club
P03,Ingrid,Solberg,Hiking club
P04,Caleb,Marsh,Hiking club
P05,Zoë,Fischer,Hiking club
P06,Owen,Gallagher,Hiking club
P07,Harriet,Boone,Hiking club
P08,Desmond,Achebe,Hiking club
P09,Lena,Vogt,Hiking club
P10,Rafael,Ortiz,Hiking club
P11,Priya,Natarajan,Bakery coworkers
P12,Marcus,Bell,Bakery coworkers
P13,Elizabeth,Chen,Bakery coworkers
P14,Jamal,Reed,Bakery coworkers
P15,Sofia,Marchetti,Bakery coworkers
P16,Hank,Dooley,Bakery coworkers
P17,Tessa,Nguyen,Bakery coworkers
P18,Rowan,Blake,Bakery coworkers
P19,Gloria,Pemberton,Bakery coworkers
P20,Andre,Silva,Bakery coworkers
P21,Michael,Torres,College roommates
P22,Aisha,Rahman,College roommates
P23,Kevin,Park,College roommates
P24,Brianna,Cole,College roommates
P25,Diego,Fuentes,College roommates
P26,Noor,Haddad,College roommates
P27,Tyler,Brooks,College roommates
P28,Mei,Tanaka,College roommates
P29,Jordan,Vance,College roommates
P30,Chloe,Adebayo,College roommates
P31,Sam,Okafor,Soccer league
P32,Lucas,Ferreira,Soccer league
P33,Nadia,Petrov,Soccer league
P34,Ethan,Walsh,Soccer league
P35,Camila,Reyes,Soccer league
P36,Victor,Nakamura,Soccer league
P37,Bea,Lindgren,Soccer league
P38,José,Ramírez,Soccer league
P39,Kwame,Mensah,Soccer league
P40,Hannah,Kowalski,Soccer league
P41,Sam,Whitfield,Book club
P42,Renée,Dubois,Book club
P43,Walter,Osei,Book club
P44,Miriam,Feldman,Book club
P45,Gordon,Hale,Book club
P46,Yuki,Sato,Book club
P47,Patricia,Lowe,Book club
P48,Anthony,Russo,Book club
P49,Beatrice,Ng,Book club
P50,Felix,Baumann,Book club
